Linux 5.4.0-144-generic (ubuntu) 	03/18/2023 	_x86_64_	(2 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          23.48    0.07   21.37    0.36    0.00   54.72

Device            r/s     w/s     rMB/s     wMB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop0            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.18    0.00   0.00     2.60     0.00   0.53   0.00
loop1            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.21    0.00   0.00     2.42     0.00   1.05   0.00
loop2            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.17    0.00   0.00     2.63     0.00   0.61   0.00
loop3            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.57    0.00   0.00    20.31     0.00   0.55   0.00
loop4            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.15    0.00   0.00     2.35     0.00   1.20   0.00
loop5            0.37    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.11    0.00   0.00     1.88     0.00   0.13   0.00
loop6            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.34    0.00   0.00     2.83     0.00   1.07   0.00
loop7            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.40    0.00   0.00     2.73     0.00   1.50   0.00
sda            729.27  609.82     11.63     18.10     7.29    58.44   0.99   8.75    0.21    0.12   0.05    16.33    30.40   0.32  43.48
loop8            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.22    0.00   0.00     2.50     0.00   0.89   0.00
loop9            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.42    0.00   0.00    15.99     0.00   0.72   0.00
loop10           6.10    0.00      0.01      0.00     0.00     0.00   0.00   0.00    0.25    0.00   0.00     1.02     0.00   0.08   0.05
loop11           0.05    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.23    0.00   0.00     7.13     0.00   0.55   0.00
